6	2	5	9	22
10	4	3	1	18
2	8	10	8	28
9	6	4	4	23
9	9	4	4	26
7	7	7	9	30
8	8	3	2	21
8	5	1	9	23
6	9	3	1	19
3	3	2	1	9
1	2	3	5	11
6	8	4	8	26
2	3	4	9	18
1	5	7	10	23
5	10	2	8	25
9	7	7	1	24
1	7	3	8	19
10	5	4	1	20
2	5	5	1	13
3	7	2	2	14
10	8	5	8	31
9	7	5	3	24
6	9	10	7	32
10	8	4	1	23
9	3	1	2	15
10	8	4	3	25
1	4	10	6	21
7	6	9	9	31
6	8	2	10	26
5	3	2	2	12
8	8	8	7	31
7	6	9	2	24
4	3	9	8	24
7	5	2	1	15
8	8	10	10	36
5	9	4	8	26
7	7	1	2	17
10	10	4	3	27
7	7	6	1	21
8	6	2	1	17
3	3	7	10	23
6	9	6	1	22
9	9	8	2	28
9	8	2	6	25
1	2	7	9	19
9	4	3	3	19
6	6	9	7	28
5	9	4	1	19
3	4	5	6	18
4	3	1	1	9
7	1	5	10	23
8	9	9	2	28
8	8	9	10	35
10	7	5	2	24
1	7	5	4	17
9	6	6	3	24
8	8	9	10	35
4	3	1	1	9
3	6	1	4	14
3	10	6	1	20
1	2	5	9	17
8	5	4	1	18
2	2	4	9	17
9	5	4	3	21
3	5	8	9	25
10	9	9	5	33
2	2	7	9	20
7	9	9	5	30
9	7	10	5	31
7	6	3	1	17
8	9	3	9	29
9	10	2	6	27
4	4	4	2	14
9	8	5	1	23
1	9	7	2	19
3	10	5	1	19
7	8	9	10	34
10	8	6	4	28
5	10	10	8	33
2	1	1	5	9
2	4	5	8	19
9	8	7	4	28
3	2	2	9	16
3	9	10	7	29
2	5	9	9	25
10	7	4	1	22
1	1	9	9	20
7	10	5	4	26
5	7	6	9	27
3	3	2	1	9
6	6	9	9	30
6	9	9	5	29
9	8	3	3	23
2	6	8	8	24
4	4	9	9	26
6	10	8	8	32
9	8	3	1	21
2	3	6	10	21
9	1	10	10	30
2	7	3	8	20
8	8	5	1	22
1	2	3	10	16
10	1	10	7	28
9	1	7	2	19
8	6	3	1	18
2	2	2	5	11
9	9	6	5	29
2	9	5	5	21
7	8	5	3	23
5	5	7	7	24
7	7	6	6	26
6	6	1	10	23
2	10	6	6	24
1	2	3	5	11
7	3	10	1	21
9	2	1	3	15
6	6	5	4	21
1	2	7	7	17
9	6	5	5	25
3	9	1	3	16
6	6	10	10	32
3	4	7	9	23
9	6	8	10	33
4	5	3	8	20
3	9	9	9	30
2	5	6	8	21
7	10	4	3	24
6	2	2	10	20
6	6	5	4	21
10	6	7	7	30
10	8	4	1	23
6	1	4	6	17
9	9	4	10	32
1	4	4	9	18
8	9	6	2	25
5	10	10	4	29
4	6	10	6	26
5	6	8	10	29
4	2	9	5	20
3	3	7	10	23
6	5	8	1	20
2	4	5	7	18
10	1	9	5	25
5	1	7	2	15
8	8	7	6	29
1	5	8	9	23
9	7	7	3	26
6	6	3	7	22
8	1	2	6	17
3	3	6	8	20
5	5	1	5	16
10	2	7	4	23
3	3	8	10	24
1	5	6	9	21
7	10	1	4	22
6	8	6	8	28
3	1	2	9	15
4	7	9	10	30
2	7	4	4	17
6	8	5	9	28
10	3	7	8	28
2	4	6	10	22
9	4	1	8	22
3	5	5	9	22
3	3	2	6	14
5	7	8	9	29
6	1	2	2	11
1	1	2	8	12
8	8	4	2	22
2	3	5	6	16
5	10	5	3	23
9	3	2	9	23
10	10	8	6	34
5	6	7	10	28
10	8	6	2	26
10	4	4	1	19
9	5	1	8	23
10	9	7	1	27
6	2	4	10	22
9	8	4	4	25
6	10	6	10	32
9	5	6	1	21
3	1	3	1	8
9	3	7	7	26
1	2	3	6	12
5	3	2	1	11
5	4	5	5	19
9	9	10	10	38
1	7	5	8	21
10	9	5	1	25
3	1	8	10	22
10	5	1	9	25
1	2	3	3	9
10	7	7	1	25
2	3	4	6	15
10	9	5	2	26
10	9	8	8	35
10	10	9	2	31
2	4	8	10	24
9	8	5	4	26
8	8	7	4	27
7	6	6	2	21
1	7	4	6	18
7	5	4	3	19
2	3	6	6	17
10	9	3	1	23
2	2	2	5	11
6	8	9	9	32
4	4	6	7	21
3	2	2	1	8
2	2	3	8	15
10	8	4	9	31
4	5	5	6	20
8	6	2	2	18
4	2	3	10	19
7	1	2	2	12
1	3	5	6	15
9	9	6	3	27
1	5	2	5	13
7	8	6	1	22
1	4	9	9	23
6	3	3	1	13
1	8	3	7	19
10	1	7	4	22
6	8	9	10	33
6	3	2	2	13
2	6	8	6	22
10	7	5	3	25
10	8	3	7	28
10	7	6	6	29
1	5	5	9	20
5	7	10	2	24
2	5	6	7	20
9	6	4	1	20
1	5	6	5	17
9	5	2	1	17
1	2	3	8	14
9	8	8	2	27
4	6	8	2	20
4	5	5	4	18
3	8	7	3	21
7	6	3	3	19
2	4	5	6	17
3	5	4	3	15
10	8	9	1	28
9	5	4	1	19
5	9	8	5	27
9	10	7	4	30
3	4	8	9	24
10	9	9	6	34
5	2	7	10	24
8	3	8	2	21
1	2	3	4	10
6	4	3	10	23
7	10	9	3	29
9	6	6	10	31
2	3	4	6	15
9	8	7	6	30
6	3	9	9	27
10	3	4	1	18
5	9	7	9	30
6	6	2	1	15
4	8	10	10	32
9	2	5	5	21
2	6	6	9	23
10	4	2	1	17
5	5	7	2	19
10	8	6	6	30
6	9	3	9	27
